Date,Country,CountryCode,Region,Location,EnergySource,EnergySubSector,Borrower,Lender,Amount ($m),Description,BRI Membership,,,,,,,,,,,,,,,,,,,
2007,Chad,TCD,Africa,Oilfields in Bongor Basin to Djarmaya,Oil,Multipurpose,Government,Ex-Im Bank,305,N'Djamena Refinery and Pipeline (Loan Offered as Chadian Government's Share),1,,,,,,,,,,,,,,,,,,,
2007,Ethiopia,ETH,Africa,Oromia Regional State of Horoguduru Wollega Zone,Hydropower,Power Generation,Government,Ex-Im Bank,116,Finchaa-Amerti-Neshe Dam,1,,,,,,,,,,,,,,,,,,,
2007,Ghana,GHA,Africa,"Black Volta River, Bui Gorge (Southern End of Bui National Park)",Hydropower,Power Generation,Government,Ex-Im Bank,562,Bui Dam,1,,,,,,,,,,,,,,,,,,,
2007,Indonesia,IDN,Southeast Asia,"Middle Reaches of Cimanuk River, Sumedang Region, West Java Province",Hydropower,Power Generation,Government,Ex-Im Bank,227,Jatigede Dam (Hydropower Plant),1,,,,,,,,,,,,,,,,,,,
2007,Uzbekistan,UZB,Europe/Central Asia,Unspecified,Oil,Exploration and Extraction,Uzbekneftegaz,Ex-Im Bank,177.6,Drilling Rig Export,1,,,,,,,,,,,,,,,,,,,
2008,Belarus,BLR,Europe/Central Asia,"Pukhovichy district, Minsk",Gas/LNG,Power Generation,Government,CDB,260,Revamping Minsk CHP Plant No. 5,1,,,,,,,,,,,,,,,,,,,
2008,Brazil,BRA,LAC,"Rio Grande do Sul, Brazil",Coal,Power Generation,Petrobras,CDB,356,Presidente Médici Candiota Power Station (Third Expansion),0,,,,,,,,,,,,,,,,,,,
2008,Cambodia,KHM,Southeast Asia,Northern Koh Kong,Hydropower,Power Generation,Government,Ex-Im Bank,47.1,Kirirom III Hydropower Plant,1,,,,,,,,,,,,,,,,,,,
2008,Gabon,GAB,Africa,"Ogooué River, Southeast Garbon",Hydropower,Power Generation,Government,Ex-Im Bank,300,Grand Poubara Dam,1,,,,,,,,,,,,,,,,,,,
2008,Indonesia,IDN,Southeast Asia,"Rembang, Jawa Tengah, Central Java, Indonesia",Coal,Power Generation,PLN (Perusahaan Listrik Negara),CDB,131,Rembang Power Station,1,,,,,,,,,,,,,,,,,,,
2008,Indonesia,IDN,Southeast Asia,"Bhinor Village, Paiton District, Probolinggo Regency, East Java Province",Coal,Power Generation,PLN (Perusahaan Listrik Negara),Ex-Im Bank,330,Paiton Power Plant Unit 9,1,,,,,,,,,,,,,,,,,,,
2008,Kazakhstan,KAZ,Europe/Central Asia,"Atyrau Oblast, Karabatan ",Coal,Multipurpose,Government,Ex-Im Bank,1260,Atyrau Petrochemical Complex,1,,,,,,,,,,,,,,,,,,,
2008,Vietnam,VNM,Southeast Asia,"Tam Hưng Commune, Thủy Nguyên District, Hải Phòng Province",Coal,Power Generation,Electricity of Vietnam,Ex-Im Bank,385.05,Hai Phong Thermal Power Plant Phase 2,1,,,,,,,,,,,,,,,,,,,
2009,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,CDB,10000,"10-Year Oil Supply Plan (10Mt/Year), ""Oil for Loan""",0,,,,,,,,,,,,,,,,,,,
2009,Ethiopia,ETH,Africa,Border of Oromia and Somali Regional States,Hydropower,Power Generation,Government,Ex-Im Bank,295,Genale-Dawa III Hydroelectric Power Project,1,,,,,,,,,,,,,,,,,,,
2009,Ethiopia,ETH,Africa,from the Gibe III switchyard to Wolaita Sodo substation,Hydropower,Transmission and Distribution,Ethiopian Electric Power,Ex-Im Bank,28.9,Power transmission lines from Gibe III to the Wolayta substation.,1,,,,,,,,,,,,,,,,,,,
2009,Fiji,FJI,Southeast Asia,Sigatoka River in Nadarivatu District of Nadroga-Navosa Province,Hydropower,Power Generation,Government,CDB,70,Nadarivatu Dam Co-financed with ADZ and Fiji Electricity Authority,1,,,,,,,,,,,,,,,,,,,
2009,Indonesia,IDN,Southeast Asia,"Southwest of Banda Aceh, Northern Sumatra Island, Indonesia",Coal,Power Generation,PLN (Perusahaan Listrik Negara),Ex-Im Bank,124,PLTU Nangroe Aceh Darussalam Thermal Power Plant,1,,,,,,,,,,,,,,,,,,,
2011,Indonesia,IDN,Southeast Asia,"Batam, Riau Province, Sumatra Island",Coal,Power Generation,Government,Ex-Im Bank,150,Tanjung Kasam Power Station with Sinosure,1,,,,,,,,,,,,,,,,,,,
2009,Indonesia,IDN,Southeast Asia,"Bunton Village, Adipala District, Cilacap Regency, Central Java Province",Coal,Power Generation,PT PLN (Persero),CDB,625,Adipala Power Station,1,,,,,,,,,,,,,,,,,,,
2009,Indonesia,IDN,Southeast Asia,"Pulomerak District, Cilegon City, Banten Province",Coal,Power Generation,PLN Indonesia,Ex-Im Bank,280,Suralaya Unit 8 Power Plant,1,,,,,,,,,,,,,,,,,,,
2009,Indonesia,IDN,Southeast Asia,"Sudimoro District, Pacitan Regency, East Java Province",Coal,Power Generation,PLN (Perusahaan Listrik Negara),Ex-Im Bank,293,Pacitan Coal Power Plant,1,,,,,,,,,,,,,,,,,,,
2009,Indonesia,IDN,Southeast Asia,"Pelabuhan Ratu District, Sukabumi Regency, West Java Province",Coal,Power Generation,PLN (Perusahaan Listrik Negara),Ex-Im Bank,481,Pelabuhan Ratu Power Station,1,,,,,,,,,,,,,,,,,,,
2009,Laos,LAO,Southeast Asia,Northern Luang Prabang Province,Hydropower,Power Generation,Government,Ex-Im Bank,308,Nam Kham 2 Dam,1,,,,,,,,,,,,,,,,,,,
2009,Myanmar,MMR,Southeast Asia,"Kyauk Phyu Township to Yunnan, China",Gas/LNG,Transmission and Distribution,Government,CDB,2400,Sino-Myanmar Pipeline with International Financiers,1,,,,,,,,,,,,,,,,,,,
2009,Russia,RUS,Europe/Central Asia,Unspecified,Oil,Exploration and Extraction,Rosneft,CDB,15000,Oil Export,1,,,,,,,,,,,,,,,,,,,
2009,Russia,RUS,Europe/Central Asia,From Skovorodino to the Amur River,Oil,Transmission and Distribution,Transneft,CDB,10000,Russia-China Oil Pipeline,1,,,,,,,,,,,,,,,,,,,
2009,Sri Lanka,LKA,South Asia,"Norocholai, Puttalam",Coal,Power Generation,CEB (Ceylon Electricity Board),Ex-Im Bank,891,Norochcholai (Lakvijaya) Power Plant Phase 2,1,,,,,,,,,,,,,,,,,,,
2009,Sudan,SDN,Africa,"South Kordofan State, Sudan",Gas/LNG,Power Generation,Government,Ex-Im Bank,680,Al-Fulah Power Plant,1,,,,,,,,,,,,,,,,,,,
2009,Turkmenistan,TKM,Europe/Central Asia,Ýolöten in Mary Province of Turkmenistan,Gas/LNG,Exploration and Extraction,Turkmengaz,CDB,3000,Galkynysh (South Yolotan-Osman) Gas Field,0,,,,,,,,,,,,,,,,,,,
2009,Vietnam,VNM,Southeast Asia,"Quảng Ninh Province, Vietnam",Coal,Power Generation,Government,Ex-Im Bank,176,Quang Ninh-1 Unit 1,1,,,,,,,,,,,,,,,,,,,
2010,Belarus,BLR,Europe/Central Asia,"Belaye Lake, Brest Region",Gas/LNG,Power Generation,Government,Ex-Im Bank,378,Berezov Combined Cycle Power Plant,1,,,,,,,,,,,,,,,,,,,
2010,Cambodia,KHM,Southeast Asia,Koh Kong Province,Hydropower,Power Generation,CHMC,Ex-Im Bank,540,Stung Tatay Hydropower Project Main Project,1,,,,,,,,,,,,,,,,,,,
2010,Cameroon,CMR,Africa,"Dja River, South of Cameroon",Hydropower,Power Generation,Government,Ex-Im Bank,43,Mekin Hydroelectric Dam,1,,,,,,,,,,,,,,,,,,,
2010,Ecuador,ECU,LAC,"Paute River, Azuay and Morona Santiago Provinces",Hydropower,Power Generation,Government,Ex-Im Bank,571,Sopladora Hydroelectric Dam,1,,,,,,,,,,,,,,,,,,,
2010,Ecuador,ECU,LAC,"Coca River, Provinces of Napo and Sucumbíos, Ecuador",Hydropower,Power Generation,Government,Ex-Im Bank,1682.7,Coca-Codo-Sinclair HPP,1,,,,,,,,,,,,,,,,,,,
2010,India,IND,South Asia,"Jhajjar District, Haryana",Coal,Power Generation,Jhajjar Power Limited (CLP India),CDB-Ex-Im Cofinancing,188,CLP Jhajjar Power Plant,0,,,,,,,,,,,,,,,,,,,
2010,India,IND,South Asia,Chhattisgarh,Coal,Power Generation,Lanco Group,CDB,200,Lanco Amarkantak Thermal Power Project 3&4,0,,,,,,,,,,,,,,,,,,,
2010,India,IND,South Asia,Uttar Pradesh,Coal,Power Generation,Lanco Group,CDB,600,"Anpara Second Phase (Built) and Himawat (Lanco - Himavat Thermal Power Plant, Suspected to be Abandoned)",0,,,,,,,,,,,,,,,,,,,
2010,India,IND,South Asia,"Sasan Village, State of Madhya Pradesh",Coal,Power Generation,"Sasan Power, subsidiary of Reliance Power",CDB-Ex-Im Cofinancing,1100,"Sasan UMPP, with Sinosure",0,,,,,,,,,,,,,,,,,,,
2010,India,IND,South Asia,Unspecified,Coal,Power Generation,Reliance Power,CDB-Ex-Im Cofinancing,5450,"Boiler, Generator and Turbine Procurement from Shanghai Electric Group",0,,,,,,,,,,,,,,,,,,,
2010,Italy,ITA,Europe/Central Asia,Brindisi,Solar,Power Generation,Global Solar Fund S.C.A. SICAR (under Suntech),CDB,730.06,Various GSF Solar Parks,1,,,,,,,,,,,,,,,,,,,
2010,Kenya,KEN,Africa,Rift Valley,Geothermal,Exploration and Extraction,Government,Ex-Im Bank,93,Olkaria IV Geothermal Field Drilling,1,,,,,,,,,,,,,,,,,,,
2010,Philippines,PHL,Southeast Asia,Bataan Peninsula,Coal,Power Generation,GNPower,CDB,493,GNPower Mariveles Coal-Fired Plant with Sinosure,1,,,,,,,,,,,,,,,,,,,
2010,Vietnam,VNM,Southeast Asia,"Binh Thuan Province, Vietnam",Coal,Power Generation, Electricity of Vietnam (EVN),Ex-Im Bank,300,Vinh Tan 2 Power Plant,1,,,,,,,,,,,,,,,,,,,
2010,Zambia,ZMB,Africa,Zambezi River,Hydropower,Power Generation,Government,Ex-Im Bank,315,Extension of Existing 720MW Kariba North Bank Hydropower Project,1,,,,,,,,,,,,,,,,,,,
2011,Belarus,BLR,Europe/Central Asia,"Vitebskaya Obl, Western Dvina River in Vitebsk",Hydropower,Power Generation,Government,CDB,189,Vitebsk Hydropower Plant,1,,,,,,,,,,,,,,,,,,,
2011,Bolivia,BOL,LAC,Unspecified,Oil,Exploration and Extraction,Government,Ex-Im Bank,60,Equipment Procurement,1,,,,,,,,,,,,,,,,,,,
2017,Bosnia & Herzegovina,BIH,Europe/Central Asia,"Tuzla, Bosnia & Herzegovina",Coal,Power Generation,Government,Ex-Im Bank,881.88,Tuzla 7 Lignite Power Plant,1,,,,,,,,,,,,,,,,,,,
2011,Cambodia,KHM,Southeast Asia,"Kampong Cham Province, Prey Veng Province, Kampong Speu Province, Khaet Preah Sihanouk",Unspecified,Transmission and Distribution,Government,Ex-Im Bank,50,Rural Power Grid Extension Project Phase 1,1,,,,,,,,,,,,,,,,,,,
2011,DRC,COD,Africa,Southwest Bas-Congo Province on Inkisi River,Hydropower,Power Generation,Government,Ex-Im Bank,360,Zongo II Hydropower Station,0,,,,,,,,,,,,,,,,,,,
2011,DRC,COD,Africa,Lualaba River of Province du Haut Katanga,Hydropower,Power Generation,Government,Ex-Im Bank,660,Busanga Hydropower,0,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,"Villonaco, Loja",Wind,Power Generation,Petroecuador,CDB,37.5,Villonaco wind farm,1,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,Esmeraldas,Oil,Power Generation,Petroecuador,CDB,50,Esmeraldas thermoelectric plant,1,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,"Paute River, Azuay and Morona Santiago Provinces",Oil,Power Generation,Petroecuador,CDB,600,"30% Oil-Related (discretionary includes $680 million for hydroelectric dams (Delsitanisagua, Minas-San Francisco, Mazar-Dudas) $50 million Esmeraldas thermoelectric plant, $37.5 million Villonaco wind farm, possibly $240 million ECU-$911 security project)",1,,,,,,,,,,,,,,,,,,,
2011,Equa. Guinea,GNQ,Africa,Bata City,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,300,Extension of the Electric Transmission Network of Bata City,1,,,,,,,,,,,,,,,,,,,
2011,Ethiopia,ETH,Africa,"Oromia, Ethiopia",Wind,Power Generation,Ethiopian Electric Power Corporation (EEPCo) ,Ex-Im Bank,99.45,Adama Wind Farm,1,,,,,,,,,,,,,,,,,,,
2011,Ghana,GHA,Africa,Atuabo in the Nzemaland of the Western Region,Gas/LNG,Multipurpose,Ghana Gas Company,CDB,1000,Western Corridor Gas Infrastructure Development Project (Atuabo Gas Processing Project and Domuli Natural Gas Export Station),1,,,,,,,,,,,,,,,,,,,
2011,Guinea,GIN,Africa,"Konkoure River, West Central Guinea",Hydropower,Power Generation,Government,Ex-Im Bank,335,Kaleta New Hydropower Dam,1,,,,,,,,,,,,,,,,,,,
2011,Guyana,GUY,LAC,Georgetown,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,38.96,Guyana Power and Light (GPL) Transmission and Distribution Infrastructure Development Project,1,,,,,,,,,,,,,,,,,,,
2011,Indonesia,IDN,Southeast Asia,"Jungkat Village, Siantan District, Pontianak Regency, West Kalimantan Province",Coal,Power Generation,Government,Ex-Im Bank,133,Parit Baru Power Station,1,,,,,,,,,,,,,,,,,,,
2011,Nepal,NPL,South Asia,Upper Trishuli River,Hydropower,Power Generation,Government,Ex-Im Bank,115,Upper Trishuli III A,1,,,,,,,,,,,,,,,,,,,
2011,Pakistan,PAK,South Asia,"Chashma Colony and Kundian town, Mianwali District, Punjab",Nuclear,Power Generation,Government,Ex-Im Bank,1570,Chashma Power Station Unit 3 and 4,1,,,,,,,,,,,,,,,,,,,
2011,Turkmenistan,TKM,Europe/Central Asia,"Ioujno-Elotenshoie Field, East Turkmenistan",Gas/LNG,Exploration and Extraction,Turkmengaz,CDB,4100,Ioujno-Elotenshoie Gas Field (Extension of the 2009 Loan),0,,,,,,,,,,,,,,,,,,,
2011,Uzbekistan,UZB,Europe/Central Asia,"Gazli, Bukhara",Gas/LNG,Transmission and Distribution,Government,CDB,2200,Central Asia-China Gas Pipeline Route C Co-Financed with CNPC,1,,,,,,,,,,,,,,,,,,,
2011,Vietnam,VNM,Southeast Asia,"Kỳ Lợi Commune, Kỳ Anh District, Hà Tĩnh Province",Coal,Power Generation,PetroVietnam,CDB,673,Vung Ang Power Station,1,,,,,,,,,,,,,,,,,,,
2011,Vietnam,VNM,Southeast Asia,"Duyên Hải District, Trà Vinh Province",Coal,Power Generation,Government,Ex-Im Bank,1008,Duyen Hai 1 with Sinosure,1,,,,,,,,,,,,,,,,,,,
2012,Argentina,ARG,LAC,Unspecified,Hydropower,Power Generation,Government,CDB,200,Various Renewable Energy Projects; Renewal of 2007/2010 Loans,0,,,,,,,,,,,,,,,,,,,
2012,Bosnia & Herzegovina,BIH,Europe/Central Asia,"Stanari Coal Mine, East of Banja Luka in Republika Srpska",Coal,Power Generation,EFT Group,CDB,453.005,Stanari Power Plant,1,,,,,,,,,,,,,,,,,,,
2012,Cameroon,CMR,Africa,"Ntem River, Southwest of Cameroon",Hydropower,Power Generation,Government,Ex-Im Bank,402,Memve'ele Hydropower Station,1,,,,,,,,,,,,,,,,,,,
2012,Chile,CHL,LAC,Unspecified,Solar,Power Generation,Sky Solar and Sigdo Koppers,CDB,900,300MW Photovoltaic Solar Station,1,,,,,,,,,,,,,,,,,,,
2012,Indonesia,IDN,Southeast Asia,"Celukan Bawang, Buleleng Regency, North Bali",Coal,Power Generation,Government,CDB,473,Celukan Bawang,1,,,,,,,,,,,,,,,,,,,
2012,Pakistan,PAK,South Asia,"Muzaffarabad, Pakistan",Hydropower,Power Generation,Government,Ex-Im Bank,448,Neelum–Jhelum Hydropower Plant,1,,,,,,,,,,,,,,,,,,,
2012,Sri Lanka,LKA,South Asia,"Elahera, North Central Province",Hydropower,Power Generation,Government,CDB,214,The Moragahakanda project,1,,,,,,,,,,,,,,,,,,,
2012,Tanzania,TZA,Africa,Mtwara–Dar es Salaam,Gas/LNG,Transmission and Distribution,Government,Ex-Im Bank,1225,Mtwara–Dar es Salaam Natural Gas Pipeline,1,,,,,,,,,,,,,,,,,,,
2012,Ukraine,UKR,Europe/Central Asia,Unspecified,Coal,Energy Efficiency,Naftohaz Ukrainy national joint-stock company,CDB,3500,Gas to Coal Projects,1,,,,,,,,,,,,,,,,,,,
2013,Bangladesh,BGD,South Asia,"Gazipur District, Dhaka, Bangladesh",Coal,Power Generation,Government,Ex-Im Bank,132,Kodda Power Plant,1,,,,,,,,,,,,,,,,,,,
2011,Bulgaria,BGR,Europe/Central Asia,"Pleven, Kazanlak, Karlovo, Silistra municipalities, Bulgaria",Solar,Power Generation,Hareon Alps Holding AG (Bulgaria) 海润广伏(保加利亚),CDB,248.1,Hareon Pobeda & Cherganovo & Karlovo & Kolarovo Solar Plants ,1,,,,,,,,,,,,,,,,,,,
2013,Cambodia,KHM,Southeast Asia,Southwestern Koh Kong Province,Hydropower,Power Generation,Huadian,Ex-Im Bank,412,Lower Stung Russey Chrum/Orussei Hydropower Project,1,,,,,,,,,,,,,,,,,,,
2013,Cambodia,KHM,Southeast Asia,Kampot and Sihanoukville Provinces,Oil,Exploration and Extraction,Cambodian Petrochemical Co. Ltd.,Ex-Im Bank,1670,Unspecified Oil Refinery,1,,,,,,,,,,,,,,,,,,,
2013,Cote d'Ivoire,CIV,Africa,"Abidjan, Ivory Coast, West of Cote d'Ivoire",Hydropower,Power Generation,Government,Ex-Im Bank,486.183,Soubre Hydropower Project,1,,,,,,,,,,,,,,,,,,,
2013,Ecuador,ECU,LAC,"Jubones River Basin, South-East Ecuador; Provinces Azuay, El Oro and Loya",Hydropower,Power Generation,Government,Ex-Im Bank,312.48,Minas-San Francisco Hydroelectric Dam,1,,,,,,,,,,,,,,,,,,,
2013,Ethiopia,ETH,Africa,"Oromia, Ethiopia",Wind,Power Generation,Ethiopian Electric Power Corporation (EEPCo) ,Ex-Im Bank,293.25,Adama Wind Farm II,1,,,,,,,,,,,,,,,,,,,
2013,India,IND,South Asia,"Gondia District, Maharashtra Region, India",Coal,Power Generation,Adani Power,CDB,166.67,Tiroda Thermal Power Project with ICBC,0,,,,,,,,,,,,,,,,,,,
2013,Indonesia,IDN,Southeast Asia,"Bungus Teluk Kabung District, Padang City, West Sumatra Province, Indonesia",Coal,Power Generation,PT PLN Persero,CDB,138,"""Teluk Sirih Coal-Fired Power Plant (224MW) STATION""",1,,,,,,,,,,,,,,,,,,,
2013,Indonesia,IDN,Southeast Asia,"Pasir Village, Pangkalan Susu District, Langkat Regency, North Sumatra Province, Indonesia",Coal,Power Generation,Indonesian State Electricity Company,Ex-Im Bank,317,Pangkalan Susu Unit 3 & 4 Coal Fired Power Plant ,1,,,,,,,,,,,,,,,,,,,
2013,Indonesia,IDN,Southeast Asia,"Bayung Lencir District, Musi Banyuasin Regency, South Sumatra Province",Coal,Power Generation,Sinar Mas Group,CDB,318,Sumsel (SS-5) Power Station,1,,,,,,,,,,,,,,,,,,,
2013,Indonesia,IDN,Southeast Asia,"Cilacap, Central Java Province",Coal,Power Generation,Government,CDB,700,Cilacap Sumber Power Station with BOC and Bank Rakyat Indonesia ,1,,,,,,,,,,,,,,,,,,,
2013,Kazakhstan,KAZ,Europe/Central Asia,"Ekibastuz, Kazakhstan",Coal,Power Generation,Government,CDB,400,Third Unit of Ekibastuz GRES-2 Power Plant with Russia,1,,,,,,,,,,,,,,,,,,,
2013,Kyrgyzstan,KGZ,Europe/Central Asia,"Bishkek, Kyrgyzstan",Coal,Power Generation,Government,Ex-Im Bank,386,Bishkek Power Station Units 12 and 13,1,,,,,,,,,,,,,,,,,,,
2013,Laos,LAO,Southeast Asia,Nam Ou River,Hydropower,Power Generation,Sinohydro EDL JV,CDB,660,"Nam Ou Dams Phase 1 (2, 5, 6)",1,,,,,,,,,,,,,,,,,,,
2013,Mali,MLI,Africa,"Gouina, Near Kayes, in the Western Region",Hydropower,Power Generation,Government,Ex-Im Bank,415,Gouina Hydropower Project,1,,,,,,,,,,,,,,,,,,,
2013,Mexico,MEX,LAC,Unspecified,Oil,Exploration and Extraction,Pemex,Ex-Im Bank,1000,Vessels and Offshore Oilfield Equipment,0,,,,,,,,,,,,,,,,,,,
2013,Niger,NER,Africa,"Malbaza to Maladie, Zinder to Soraz",Unspecified,Transmission and Distribution,Government,Ex-Im Bank,73.3,"132KV Transmission Project, Preferential Loan",1,,,,,,,,,,,,,,,,,,,
2013,Nigeria,NGA,Africa,Unspecified,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,500,"Transmission Capacity Upgrade (2 billion from AfDB, WB, the French Development Bank and CHEXIM)",1,,,,,,,,,,,,,,,,,,,
2013,Nigeria,NGA,Africa,Kaduna River in Niger State,Hydropower,Power Generation,Government,Ex-Im Bank,975,Zungeru Hydropower Plant,1,,,,,,,,,,,,,,,,,,,
2013,Russia,RUS,Europe/Central Asia,Far East Region,Coal,Multipurpose,En+ Group and Shenhua Group,CDB,2000,"Coal Resource Development in Far East, Including Exploration, Processing, Transportation and Power Generation",1,,,,,,,,,,,,,,,,,,,
2013,Uganda,UGA,Africa,Karuma Falls on the Victoria Nile,Hydropower,Power Generation,Government,Ex-Im Bank,1435,Karuma Hydroelectric Power Station,1,,,,,,,,,,,,,,,,,,,
2013,Uzbekistan,UZB,Europe/Central Asia,Eastern Uzbekistan,Coal,Power Generation,Government,Ex-Im Bank,166,Angren Power Station with Uzbekenergo,1,,,,,,,,,,,,,,,,,,,
2011,Venezuela,VEN,LAC,"Abreu e Lima, Pernambuco State, Brazil",Oil,Exploration and Extraction,PDVSA,CDB,1500,Buying 40% Share of Abreu e Lima (from Petrobras),1,,,,,,,,,,,,,,,,,,,
2013,Venezuela,VEN,LAC,Orinoco Oil Belt,Oil,Exploration and Extraction,PDVSA,CDB,4000,Increase Sinovensa Production in Orinoco ,1,,,,,,,,,,,,,,,,,,,
2013,Vietnam,VNM,Southeast Asia,"Binh Thuan Province, Vietnam",Coal,Power Generation,PetroVietnam,CDB,27.89,Thai Binh 2 Coal Power Plant,1,,,,,,,,,,,,,,,,,,,
2013,Zimbabwe,ZWE,Africa,Unspecified,Hydropower,Power Generation,Government,Ex-Im Bank,320,Kariba South Bank Extension,1,,,,,,,,,,,,,,,,,,,
2014,Angola,AGO,Africa,Unspecified,Oil,Exploration and Extraction,Government,CDB,2000,Unspecified Oil Export,1,,,,,,,,,,,,,,,,,,,
2014,Argentina,ARG,LAC,Patagonia Province of Santa Cruz,Hydropower,Power Generation,Government,CDB,2500,The Nestor Kichner and Jorge Cepernic Dams with ICBC and BOC,0,,,,,,,,,,,,,,,,,,,
2014,Ecuador,ECU,LAC,"Amazon Basin, Coca River, between Napo and Sucumbíos Provinces",Hydropower,Transmission and Distribution,Government,Ex-Im Bank,509,Coca Codo Sinclair Hydroelectric Facility,1,,,,,,,,,,,,,,,,,,,
2014,Indonesia,IDN,Southeast Asia,"Punagaya village, Bangkala District, Jeneponto Regency, South Sulawesi Province, Indonesia",Coal,Power Generation,Indonesian State Electricity Company,Ex-Im Bank,241,Takalar Steam Coal-Fired Power Plant (200MW),1,,,,,,,,,,,,,,,,,,,
